Date,Price,Open,High,Low,Vol.,Change %
07/26/2021,1403.96,1397.01,1409.94,1384.87,152.85K,0.17%
07/23/2021,1401.53,1422.07,1430.43,1401.53,235.47K,-1.89%
07/22/2021,1428.48,1404.49,1432.43,1400.2,162.70K,1.56%
07/21/2021,1406.54,1415.71,1422.8,1402.42,149.34K,-0.32%
07/20/2021,1411.02,1379.41,1411.02,1357.31,221.51K,2.68%
07/19/2021,1374.15,1403.96,1413.24,1367.61,268.71K,-4.44%
07/16/2021,1438.05,1439.96,1446.36,1433.16,152.45K,0.54%
07/15/2021,1430.29,1410.3,1441.57,1402.36,189.78K,1.42%
07/14/2021,1410.3,1440.87,1446.13,1395.16,215.23K,-2.12%
07/13/2021,1440.87,1443.1,1457.05,1419.09,174.50K,-0.15%
07/12/2021,1443.1,1494.43,1495.92,1406.14,412.55K,-3.43%
07/09/2021,1494.43,1521.21,1526.35,1480.6,287.67K,-1.76%
07/08/2021,1521.21,1538.77,1538.77,1509.9,218.88K,-1.14%
07/07/2021,1538.77,1488.42,1538.77,1472.81,306.58K,3.38%
07/06/2021,1488.42,1557.41,1565.29,1488.42,298.84K,-4.43%
07/05/2021,1557.41,1554.59,1560.44,1533.18,309.40K,0.18%
07/02/2021,1554.59,1546.54,1558.45,1546.54,242.78K,0.61%
07/01/2021,1545.14,1529.09,1545.14,1525.24,253.52K,1.06%
06/30/2021,1529,1529.97,1540.9,1528.1,192.68K,-0.06%
06/29/2021,1529.97,1521.51,1536.96,1521.51,203.55K,0.56%
06/28/2021,1521.41,1502.02,1523.58,1502.02,215.31K,1.41%
06/25/2021,1500.3,1486.99,1500.94,1480.64,180.21K,0.90%
06/24/2021,1486.96,1489.51,1497.92,1482.38,175.26K,-0.17%
06/23/2021,1489.53,1489.27,1502.79,1485.13,197.84K,0.02%
06/22/2021,1489.24,1481.13,1498.12,1481.13,211.64K,0.74%
06/21/2021,1478.29,1481.15,1486.12,1473.11,205.15K,-0.20%
06/18/2021,1481.3,1461.96,1484.89,1461.96,198.66K,1.33%
06/17/2021,1461.91,1463.98,1469.44,1445.39,211.57K,-0.25%
06/16/2021,1465.58,1486.76,1487.68,1462.99,241.63K,-1.44%
06/15/2021,1487.04,1495.51,1498.75,1481.03,239.02K,-0.57%
06/14/2021,1495.51,1488.88,1504.32,1483.82,249.57K,0.53%
06/11/2021,1487.61,1451.43,1489.95,1448.46,264.96K,2.51%
06/10/2021,1451.18,1457.17,1464.4,1443.74,253.44K,-0.45%
06/09/2021,1457.76,1438.47,1465.93,1426.04,279.95K,1.31%
06/08/2021,1438.97,1481.88,1493.36,1436.72,328.47K,-3.04%
06/07/2021,1484.1,1508.08,1508.65,1472.1,309.81K,-1.61%
06/04/2021,1508.35,1504.18,1509.38,1496.36,336.49K,0.26%
06/03/2021,1504.37,1479.75,1506.27,1479.75,318.35K,1.73%
06/02/2021,1478.85,1482.92,1488.93,1469.49,277.18K,-0.27%
06/01/2021,1482.92,1473.28,1496.55,1473.28,255.91K,0.55%
05/31/2021,1474.78,1459.04,1475.09,1449.66,293.02K,1.10%
05/28/2021,1458.78,1437.74,1460.68,1433.55,300.18K,1.49%
05/27/2021,1437.38,1455.48,1457.46,1433.76,264.79K,-1.22%
05/26/2021,1455.11,1443.93,1456.55,1440.6,233.97K,0.77%
05/25/2021,1444.01,1428.42,1445.6,1427.56,209.78K,0.95%
05/24/2021,1430.48,1425.11,1433.59,1421.17,256.21K,0.38%
05/21/2021,1425.04,1424.77,1433.01,1412.78,267.79K,0.01%
05/20/2021,1424.92,1402.31,1424.92,1396.23,270.20K,1.66%
05/19/2021,1401.71,1378.97,1402.45,1378.43,279.67K,1.68%
05/18/2021,1378.59,1371.75,1381.36,1367.85,252.83K,0.53%
05/17/2021,1371.36,1381.13,1391.89,1371.22,254.61K,-0.63%
05/14/2021,1380.02,1370.14,1386.09,1370.14,251.13K,0.72%
05/13/2021,1370.18,1379.19,1385.72,1370.18,271.90K,-0.72%
05/12/2021,1380.17,1358.59,1380.23,1350.8,264.23K,1.54%
05/11/2021,1359.19,1370.71,1382.06,1359.19,262.05K,-0.84%
05/10/2021,1370.66,1339.75,1371.51,1335.39,302.73K,2.23%
05/07/2021,1340.73,1344.09,1347.8,1329.51,291.44K,-0.29%
05/06/2021,1344.64,1346.93,1352.57,1337.28,226.86K,-0.17%
05/05/2021,1346.89,1328.47,1360.76,1328.47,274.66K,1.42%
05/04/2021,1328.03,1312.08,1329.18,1285.9,274.20K,1.20%
04/29/2021,1312.28,1294.79,1312.62,1294.79,242.34K,1.41%
04/28/2021,1294.06,1283.81,1296.48,1280.54,206.90K,0.80%
04/27/2021,1283.81,1274.32,1283.95,1264.57,171.78K,0.69%
04/26/2021,1275.04,1301.39,1305.73,1269.78,216.95K,-2.02%
04/23/2021,1301.39,1271.52,1301.39,1262.89,245.63K,2.35%
04/22/2021,1271.53,1312.33,1317.5,1271.53,232.54K,-3.13%
04/20/2021,1312.68,1308.03,1331.56,1303.68,244.92K,0.49%
04/19/2021,1306.22,1277.11,1306.22,1271.52,210.60K,2.30%
04/16/2021,1276.87,1283.18,1291.37,1262.52,247.67K,-0.57%
04/15/2021,1284.2,1291.83,1300.84,1283.98,236.68K,-0.51%
